username,attention_score
cryptobravehq,30.51
thedefivillain,22.96666666666667
darcyari,12.72
lijiuer1,12.405
rektdiomedes,11.045
dabiaoge,10.285
ottosuwen,8.385
mastrxyz,8.205
bull_bnb,7.97
kikcharts,7.955
eljaboom,6.165
yuexiaoyu111,6.11
marcshawnbrown,6.11
kriptoloki,6.046666666666667
pendleintern,5.7
grape_growth,5.546666666666667
kurama718,5.515
poopmandefi,5.16
logic060,4.835
menglayer,4.44
phillip_xyz,4.32
snipeder,4.3
hopiumpapi,4.22
pumpfunnewsfeed,4.21
ivanm10529875,4.195
grebbycrypto,4.035
jiujinshan2022,3.983333333333333
reece_merrick,3.895
macrocrg,3.85
sentosumosaba,3.78
pgreyy,3.465
pawnie_,3.3575
bendthechain,3.325
0x_cryptoau,3.26
aeyakovenko,3.19
ucan_coin,2.98
marinonchain,2.9450000000000003
kashdhanda,2.845
gem_insider,2.78
ohyishi,2.765
bfreshhb,2.75
fabianosolana,2.7433333333333336
kwok_phil,2.605
tobific,2.5
wkahneman,2.45
ufukless1,2.353333333333333
dogeh8er,2.305
vet_x0,2.3
cainosullivan,2.285
batikaneth,2.255
gautamguptagg,2.245
btcohmann,2.21
0xkingskuan,2.17
0xleegenz,2.17
ripplexrpie,2.1633333333333336
phtevenstrong,2.155
horlar1050,2.145
jungleincxrp,2.13
bitxinxin,2.065
azflin,2.025
senseisol,1.965
0xsammy,1.93
gcsbtc,1.82
goofywithrae,1.82
matiieth,1.815
hannaxbtc,1.81
bumzzylamar1,1.8000000000000005
0xlige,1.76
zhugelyang,1.7533333333333332
swizzyonchain,1.75
green_but_red,1.7049999999999998
fede_intern,1.6700000000000002
cryptousopp,1.65
kevinwshpod,1.63
davincitrkripto,1.605
gem_detecter,1.585
_crypto_barbie,1.57
marshmellowxbt,1.57
0xamberct,1.545
earnbyabhi,1.525
michaelzogot,1.52
leonard_aster,1.515
lasermexcrypto,1.485
zaijin338191,1.48
0xmert_,1.4766666666666666
scarlettweb3,1.46
tedpillows,1.4183333333333332
crypto_alch,1.41
munchprmr,1.41
defi_scribbler,1.403333333333333
jgonzalezferrer,1.4
0xozik,1.385
chadsteingraber,1.375
youngsun,1.37
apoorvanand99,1.355
thefvkngphoenix,1.35
lukecannon727,1.35
sebmontgomery,1.346666666666667
mardeni01,1.3350000000000002
digitalassetbuy,1.315
xeer,1.31
americadotfun,1.31
lurkaroundfind,1.3
rayrayweb5,1.29
waleswoosh,1.28
0xuzman,1.26
showy005,1.255
cz_binance,1.21
telloo55,1.19
andyyy,1.185
_forab,1.1833333333333331
rocky_bitcoin,1.1766666666666663
congge918,1.16
skylineeth,1.145
humidifi,1.135
only1temmy,1.135
yukka2920,1.1
onchainmo,1.085
0xasrequired,1.075
defi_dad,1.0666666666666669
amonbuy,1.06
0xunusual,1.02
memesonbnb,0.995
cryptomichnl,0.9925
sol_nxxn,0.94
jackyi_ld,0.935
0xallen888,0.93
ashcrypto,0.926
playboycrypt0,0.915
darkigbogirl,0.895
merlijntrader,0.8875
rostyketh,0.8300000000000001
0xnono_1,0.8200000000000001
afscott,0.82
y2kappa,0.7000000000000001
langerius,0.6950000000000001
0xbroze,0.675
agintender,0.67
wagmialexander,0.635
leonwaidmann,0.635
yuanshan0626,0.63
katexbt,0.6299999999999999
soljakey,0.615
cthrin,0.61
diego_defai,0.5933333333333334
akshaybd,0.585
anitahityou,0.585
fipcrypto,0.5700000000000001
pete_rizzo_,0.565
vivek4real_,0.515
ashen_one,0.49
martiniguyyt,0.4866666666666666
jacobkinge,0.425
digitalartchick,0.38
sykodelic_,0.355
molusol,0.3299999999999999
breadnbutter247,0.21
superl9,0.185
whisprnews,0.01
