project_name,Rank,Name,Handle,Mindshare,Delta,Smart Followers,creator_code,Creator_ID
fourdotmemezh,1,BULL 牛,bull_bnb,19.04,19.04,1820,C95,bull_bnb
fourdotmemezh,2,Elja 🦍,Eljaboom,11.39,11.39,2800,C30,eljaboom
fourdotmemezh,3,Bitxin 🐮🧲DOYR 🛡️,bitxinxin,0.47,0.47,102,C92,bitxinxin
fourdotmemezh,4,Wick李🔶 BNB,SuperL9,0.0,-0.61,541,C66,superl9
airaaagent,1,"grape_growth(❖,❖)",grape_growth,11.58,4.39,56,C112,grape_growth
airaaagent,2,B̷e̷n̷d̷T̷h̷e̷C̷h̷a̷i̷n̷,BendTheChain,5.62,1.06,6,C19,bendthechain
airaaagent,3,Abdulrosaq,horlar1050,3.0,3.0,10,C116,horlar1050
airaaagent,4,Bumzy Lamar,bumzzylamar1,2.24,1.07,13,C96,bumzzylamar1
airaaagent,5,vader 🧬,GoofyWithRae,1.34,0.99,10,C33,goofywithrae
airaaagent,6,Yukka (✧ᴗ✧),Yukka2920,1.32,0.36,5,C78,yukka2920
airaaagent,7,katexbt.hl,katexbt,1.13,-4.49,1890,C122,katexbt
airaaagent,8,Phoenix 🔺️FUT,thefvkngphoenix,0.85,0.27,3,C151,thefvkngphoenix
OfficialApeXdex,1,Pawnie,pawnie_,2.49,2.49,838,C136,pawnie_
OfficialApeXdex,2,hannax | MemeMax⚡️,hannaXbtc,2.43,1.68,1010,C115,hannaxbtc
OfficialApeXdex,3,Mellow,marshmellowxbt,1.62,1.62,576,C131,marshmellowxbt
OfficialApeXdex,4,Amber _ D,0xAmberCT,1.59,-0.7,96,C2,0xamberct
OfficialApeXdex,5,Rocky,Rocky_Bitcoin,1.21,1.21,808,C59,rocky_bitcoin
arbitrum,1,𝗵𝘂𝗻𝘁𝗲𝗿,BFreshHB,3.35,0.72,1130,C18,bfreshhb
arbitrum,2,Marc Shawn Brown,MarcShawnBrown,1.34,0.18,437,C45,marcshawnbrown
arbitrum,3,Michaël van de Poppe,CryptoMichNL,1.23,0.43,2140,C21,cryptomichnl
arbitrum,4,Cain O'Sullivan,cainosullivan,1.22,1.22,200,C97,cainosullivan
arbitrum,5,DeFi Dad ⟠ defidad.eth,DeFi_Dad,1.15,1.15,4480,C26,defi_dad
arbitrum,6,John Galt,lurkaroundfind,1.07,1.07,624,C129,lurkaroundfind
arbitrum,7,Leon Waidmann 🔥,LeonWaidmann,0.97,0.27,291,C41,leonwaidmann
arbitrum,8,Diego,diego_defai,0.9,0.56,264,C104,diego_defai
Aster_DEX,1,Yishi,ohyishi,1.58,1.58,914,C134,ohyishi
Aster_DEX,2,AB Kuai.Dong,_FORAB,1.54,0.54,1120,C81,_forab
Aster_DEX,3,CZ 🔶 BNB,cz_binance,1.3,1.3,15270,C101,cz_binance
Aster_DEX,4,Leonard 💛 Aster,Leonard_Aster,1.27,-0.2,923,C42,leonard_aster
Aster_DEX,5,danny,agintender,1.12,1.01,442,C84,agintender
Aster_DEX,6,Elja 🦍,Eljaboom,0.94,0.02,2800,C30,eljaboom
Aster_DEX,7,That Martini Guy ₿,MartiniGuyYT,0.94,0.94,1920,C47,martiniguyyt
BeldexCoin,1,币世王 ｜MemeMax⚡️,0xKingsKuan,3.44,2.42,903,C4,0xkingskuan
BeldexCoin,2,Usopp,CryptoUsopp,2.54,-0.54,1050,C22,cryptousopp
BeldexCoin,3,Ohmann张奥曼,btcohmann,2.23,2.15,491,C94,btcohmann
BeldexCoin,4,Javi🥥.eth,jgonzalezferrer,1.79,0.41,1640,C118,jgonzalezferrer
BeldexCoin,5,Pawnie,pawnie_,1.63,1.63,838,C136,pawnie_
BeldexCoin,6,Mellow,marshmellowxbt,1.52,0.88,576,C131,marshmellowxbt
BeldexCoin,7,Scribbler,Defi_Scribbler,1.26,0.69,254,C27,defi_scribbler
BeldexCoin,8,hannax | MemeMax⚡️,hannaXbtc,1.19,-0.29,1010,C115,hannaxbtc
bitcoin,1,Vivek Sen,Vivek4real_,0.63,0.08,1530,C73,vivek4real_
bitcoin,2,The Bitcoin Historian,pete_rizzo_,0.57,0.18,2570,C137,pete_rizzo_
bitcoin,3,Ash Crypto,AshCrypto,0.57,0.1,3690,C16,ashcrypto
bitcoin,4,Ted,TedPillows,0.33,0.15,3210,C69,tedpillows
bitcoin,5,Merlijn The Trader,MerlijnTrader,0.31,0.12,393,C52,merlijntrader
bitcoin,6,Michaël van de Poppe,CryptoMichNL,0.3,0.12,2140,C21,cryptomichnl
bitcoin,7,That Martini Guy ₿,MartiniGuyYT,0.27,0.13,1920,C47,martiniguyyt
bitcoin,8,Sykodelic 🔪,Sykodelic_,0.26,0.04,684,C68,sykodelic_
bitcoin,9,Jacob King,JacobKinge,0.21,0.01,1670,C37,jacobkinge
bitgetglobal,1,岳小鱼,yuexiaoyu111,2.14,2.14,449,C158,yuexiaoyu111
bitgetglobal,2,George.TON增长实验室,Showy005,2.07,-0.07,104,C63,showy005
bluwhaleai,1,Pawnie,pawnie_,7.95,3.25,838,C136,pawnie_
binance,1,CZ 🔶 BNB,cz_binance,1.12,0.37,15270,C101,cz_binance
binance,2,Vivek Sen,Vivek4real_,0.4,0.4,1530,C73,vivek4real_
binance,3,0xNoNo🦇,0xNoNo_1,0.39,0.33,435,C7,0xnono_1
binance,4,Wick李🔶 BNB,SuperL9,0.37,0.25,541,C66,superl9
binance,5,danny,agintender,0.37,0.31,442,C84,agintender
binance,6,Ted,TedPillows,0.35,0.02,3210,C69,tedpillows
binance,7,旧金山不是巴黎(Meme部部长）,jiujinshan2022,0.32,0.19,652,C119,jiujinshan2022
brevis_zk,1,聪哥.sats,congge918,1.11,-1.64,485,C98,congge918
brevis_zk,2,Tello,Telloo55,0.84,0.57,159,C70,telloo55
brevis_zk,3,LANGERIUS,Langerius,0.81,0.17,2950,C39,langerius
playchronoforge,1,katexbt.hl,katexbt,0.13,0.13,1890,C122,katexbt
coinbase,1,Ted,TedPillows,1.04,0.25,3210,C69,tedpillows
coinbase,2,alexander,wagmiAlexander,0.89,0.89,1360,C154,wagmialexander
coinbase,3,Ash Crypto,AshCrypto,0.88,0.66,3690,C16,ashcrypto
coinbase,4,Merlijn The Trader,MerlijnTrader,0.63,0.53,393,C52,merlijntrader
coinbase,5,The Bitcoin Historian,pete_rizzo_,0.56,0.43,2570,C137,pete_rizzo_
coinbase,6,远山洞见,Yuanshan0626,0.55,0.55,177,C77,yuanshan0626
coinbase,7,danny,agintender,0.52,0.52,442,C84,agintender
coinbase,8,Catherine Shyu Sullivan,cthrin,0.48,0.48,316,C100,cthrin
coinbase,9,Akshay BD,akshaybd,0.48,0.48,1880,C85,akshaybd
dmdotfun,1,Otto Suwen,OttoSuwen,15.04,14.97,3570,C55,ottosuwen
dmdotfun,2,Loki,kriptoloki,3.52,3.52,88,C124,kriptoloki
dmdotfun,3,Swizzy,SwizzyOnChain,2.9,0.88,1400,C67,swizzyonchain
dmdotfun,4,"Batikan.eth (❖,❖)",batikaneth,2.77,2.77,255,C91,batikaneth
dmdotfun,5,Ozi aka brrrrrrr 💸,0xOziK,1.89,1.89,326,C8,0xozik
dmdotfun,6,CosmosBG Degen Fight Club⚛️🉐☯️🏴‍☠️🐉🧪⚡️ 🛰,IvanM10529875,1.25,-1.1,27,C35,ivanm10529875
doodles,1,Youngsun Shin,youngsun,1.82,0.89,1350,C157,youngsun
doodles,2,Xeer,Xeer,1.44,1.44,5440,C76,xeer
undefined,1,旧金山不是巴黎(Meme部部长）,jiujinshan2022,8.59,8.59,652,C119,jiujinshan2022
undefined,2,Bitxin 🐮🧲DOYR 🛡️,bitxinxin,3.66,3.66,102,C92,bitxinxin
undefined,3,AU🧲,0x_CryptoAu,1.57,1.57,383,C11,0x_cryptoau
undefined,4,Niner 🍡九儿🔶BNB,lijiuer1,1.25,1.25,960,C127,lijiuer1
enjin,1,加密无畏,cryptobraveHQ,86.3,86.3,848,C99,cryptobravehq
enjin,2,Bread & Butter,breadnbutter247,0.42,0.42,284,C93,breadnbutter247
enjin,3,WHISPR,WhisprNews,0.02,0.02,8,C75,whisprnews
ethereum,1,Ash Crypto,AshCrypto,0.7,0.09,3690,C16,ashcrypto
ethereum,2,Ted,TedPillows,0.56,0.06,3210,C69,tedpillows
ethereum,3,Sykodelic 🔪,Sykodelic_,0.45,0.32,684,C68,sykodelic_
ethereum,4,Merlijn The Trader,MerlijnTrader,0.42,-0.01,393,C52,merlijntrader
ethereum,5,Fede’s intern 🥊,fede_intern,0.39,-0.02,1910,C107,fede_intern
ethereum,6,rostyk.eth,rostyketh,0.32,0.12,175,C146,rostyketh
ethereum,7,JackYi,Jackyi_ld,0.3,0.21,613,C36,jackyi_ld
ethereum,8,Leon Waidmann 🔥,LeonWaidmann,0.3,-0.03,291,C41,leonwaidmann
ethereum,9,Artchick (ETH/acc) 🔥👠,digitalartchick,0.29,-0.08,8189,C105,digitalartchick
ethereum,10,Michaël van de Poppe,CryptoMichNL,0.27,0.04,2140,C21,cryptomichnl
ethereum,11,DeFi Dad ⟠ defidad.eth,DeFi_Dad,0.26,0.15,4480,C26,defi_dad
ethereum,12,That Martini Guy ₿,MartiniGuyYT,0.25,0.09,1920,C47,martiniguyyt
ferra_protocol,1,Usopp,CryptoUsopp,0.62,0.62,1050,C22,cryptousopp
folksfinance,1,"grape_growth(❖,❖)",grape_growth,4.05,0.66,56,C112,grape_growth
folksfinance,2,Ted,TedPillows,2.65,2.65,3210,C69,tedpillows
folksfinance,3,vader 🧬,GoofyWithRae,2.3,-0.46,10,C33,goofywithrae
folksfinance,4,Phoenix 🔺️FUT,thefvkngphoenix,1.85,1.62,3,C151,thefvkngphoenix
folksfinance,5,"Batikan.eth (❖,❖)",batikaneth,1.74,1.74,255,C91,batikaneth
folksfinance,6,Bumzy Lamar,bumzzylamar1,1.36,0.01,13,C96,bumzzylamar1
folksfinance,7,Abdulrosaq,horlar1050,1.29,1.26,10,C116,horlar1050
folksfinance,8,B̷e̷n̷d̷T̷h̷e̷C̷h̷a̷i̷n̷,BendTheChain,1.03,-1.74,6,C19,bendthechain
folksfinance,9,Rika 瑞卡⚡,rayrayweb5,1.03,-0.45,434,C143,rayrayweb5
folksfinance,10,Ozi aka brrrrrrr 💸,0xOziK,0.88,0.88,326,C8,0xozik
folksfinance,11,Yukka (✧ᴗ✧),Yukka2920,0.88,0.5,5,C78,yukka2920
fuel_network,1,VIKTOR,thedefivillain,61.95,61.95,1650,C150,thedefivillain
fuel_network,2,playboycrypto,playboycrypt0,0.0,-0.02,191,C141,playboycrypt0
