project_name,creators
0xMiden,"['C79', 'C70', 'C38', 'C14']"
Aster_DEX,"['C134', 'C81', 'C101', 'C42', 'C84', 'C30', 'C47']"
BeldexCoin,"['C4', 'C22', 'C94', 'C118', 'C136', 'C131', 'C27', 'C115']"
GOATRollup,"['C22', 'C27']"
HashKeyGroup,"['C24', 'C158', 'C43', 'C51', 'C60', 'C59', 'C114', 'C98', 'C1']"
HyperliquidX,"['C3', 'C128', 'C12', 'C133', 'C150', 'C97']"
JupiterExchange,"['C62', 'C121', 'C46', 'C38', 'C31', 'C130', 'C117', 'C40', 'C149', 'C156', 'C61']"
Kalshi,"['C100', 'C65', 'C44']"
MEXC_Official,"['C58', 'C80', 'C141', 'C87', 'C153']"
MeteoraAG,"['C31', 'C61', 'C53', 'C83', 'C86']"
Mubarakah_CTO,"['C48', 'C99', 'C50', 'C63']"
OfficialApeXdex,"['C136', 'C115', 'C131', 'C2', 'C59']"
Plasma,"['C142', 'C56', 'C140', 'C26', 'C159']"
RaveDAO,"['C124', 'C69', 'C153', 'C111', 'C110', 'C113', 'C25', 'C64']"
Ripple,"['C72', 'C20', 'C120', 'C106', 'C144', 'C58', 'C80', 'C28', 'C87', 'C126', 'C74']"
SeiNetwork,"['C45', 'C139', 'C52', 'C21', 'C16', 'C5', 'C136']"
StandX_Official,"['C102', 'C98', 'C5', 'C1', 'C159', 'C64']"
Tether_to,"['C15', 'C16', 'C81', 'C77', 'C37', 'C104']"
airaaagent,"['C112', 'C19', 'C116', 'C96', 'C33', 'C78', 'C122', 'C151']"
arbitrum,"['C18', 'C45', 'C21', 'C97', 'C26', 'C129', 'C41', 'C104']"
binance,"['C101', 'C73', 'C7', 'C66', 'C84', 'C69', 'C119']"
bluwhaleai,['C136']
brevis_zk,"['C98', 'C70', 'C39']"
circle,"['C135', 'C117', 'C97', 'C6', 'C46', 'C3', 'C59', 'C104', 'C15', 'C132']"
coinbase,"['C69', 'C154', 'C16', 'C52', 'C137', 'C77', 'C84', 'C100', 'C85']"
dmdotfun,"['C55', 'C124', 'C67', 'C91', 'C8', 'C35']"
doodles,"['C157', 'C76']"
enjin,"['C99', 'C93', 'C75']"
ethereum,"['C16', 'C69', 'C68', 'C52', 'C107', 'C146', 'C36', 'C41', 'C105', 'C21', 'C26', 'C47']"
ferra_protocol,['C22']
folksfinance,"['C112', 'C69', 'C33', 'C151', 'C91', 'C96', 'C116', 'C19', 'C143', 'C8', 'C78']"
fuel_network,"['C150', 'C141', 'C75', 'C93']"
gensynai,"['C17', 'C152', 'C10', 'C79', 'C138', 'C9']"
kaitoai,"['C76', 'C118', 'C155', 'C142', 'C90', 'C89', 'C54', 'C108']"
kindred_ai,"['C139', 'C94', 'C143', 'C4', 'C109']"
lavanetxyz,"['C145', 'C35', 'C113', 'C109', 'C22', 'C60']"
monero,['C6']
moremarketsxyz,"['C71', 'C147', 'C2']"
octra,"['C152', 'C138', 'C13', 'C49', 'C32', 'C43', 'C27', 'C51', 'C128', 'C10', 'C29', 'C103']"
pendle_fi,"['C56', 'C134', 'C142', 'C89', 'C140', 'C12', 'C81']"
pippinlovesyou,"['C44', 'C150', 'C34', 'C53']"
playchronoforge,['C122']
rainbowdotme,"['C14', 'C13', 'C67', 'C103', 'C49', 'C39', 'C108']"
solana,"['C85', 'C65', 'C105', 'C83', 'C6', 'C82', 'C154', 'C146', 'C90', 'C149', 'C132', 'C156']"
tempo,"['C107', 'C142', 'C18']"
wardenprotocol,"['C9', 'C124', 'C71', 'C25', 'C99']"
worldlibertyfi,"['C148', 'C42', 'C36', 'C86']"
wormhole,"['C97', 'C82', 'C112']"
