id,keyword,level,categories,one_sentence_definition
S1,Layer 1 blockchain,Generic,['Layer 1 / Core Protocols'],"A base-layer public blockchain that provides consensus, settlement, and execution for native assets and smart contracts."
S2,Layer 2 & rollups,Generic,['Layer 2 & Scaling'],Off-chain or auxiliary protocols that scale base-layer blockchains by batching or compressing transactions while ultimately settling to a Layer 1.
S3,EVM compatibility & smart contract runtimes,Generic,['Infrastructure & Developer Tooling'],Support for the Ethereum Virtual Machine or other smart-contract runtimes enabling compatibility with existing Solidity tooling and dApps.
S4,High-performance / trading-optimized L1,Specific,['Layer 1 / Core Protocols'],"A Layer 1 blockchain designed with low-latency, high-throughput, and specialized features tailored for exchange and trading workloads."
S5,Bitcoin Layer 2,Specific,['Layer 2 & Scaling'],"Second-layer networks built on top of Bitcoin that add functionality like faster settlement, programmability, or liquidity abstraction while anchoring to Bitcoin L1."
S6,Zero-knowledge proofs & ZK attestation,Generic,"['Privacy & Zero-Knowledge', 'Layer 2 & Scaling']","Cryptographic techniques that prove facts about data or computation without revealing the underlying data, used for privacy, compression, and trust-minimized attestation."
S7,Fully Homomorphic Encryption (FHE),Specific,['Privacy & Zero-Knowledge'],"Cryptographic schemes enabling computation over encrypted data without decrypting it, applied for privacy-preserving on-chain or off-chain computation."
S8,Decentralized data marketplaces & RPC networks,Generic,"['Data, Analytics & Indexing']",Permissionless networks that connect data consumers to node operators and indexing providers to buy/sell blockchain data and RPC services with crypto-economic guarantees.
S9,Cross-chain interoperability & bridges,Generic,['Cross-chain & Interoperability'],"Protocols and mechanisms that transfer messages, tokens, or state across distinct blockchains, enabling composability and asset movement between ecosystems."
S10,Decentralized exchanges (DEX) & AMMs,Generic,['DeFi'],"On-chain protocols for permissionless token swapping and liquidity provision, including automated market maker designs and decentralized order routing."
S11,On-chain orderbook & matching engines,Specific,['DeFi'],"Orderbook-style trading and matching mechanisms implemented on-chain for low-latency, transparent execution of limit orders and derivatives."
S12,Perpetuals & derivatives protocols,Generic,['DeFi'],"Financial smart-contract systems enabling leveraged, derivative, or perpetual trading, including margin, funding, and liquidation mechanics."
S13,DEX aggregators & routing,Specific,['DeFi'],Services and protocols that aggregate liquidity across multiple venues to route trades for best execution and minimal slippage.
S14,Yield aggregation & tokenized yield,Generic,['DeFi'],"Protocols that pool, optimize, or tokenize future yield streams from underlying yield-bearing assets to create tradable or composable yield instruments."
S15,Lending & borrowing protocols,Generic,['DeFi'],"Smart-contract systems that enable overcollateralized or undercollateralized loans, interest accrual, and on-chain liquidation mechanics."
S16,Stablecoins & payment rails,Generic,"['DeFi', 'Regulation & Compliance']",Tokenized fiat or price-stable assets and the payment infrastructure enabling low-friction transfers for commerce and settlements.
S17,Prediction markets,Generic,['DeFi'],"Markets where participants trade contracts whose payouts depend on real-world event outcomes, aggregating information into prices that reflect probabilities."
S18,"NFTs, gaming & metaverse infrastructure",Generic,"['NFTs, Gaming & Metaverse']","Blockchain-based assets, tooling and platforms that enable digital ownership, playable characters, in-game economies, and metaverse experiences."
S19,NFT collections & PFP projects,Specific,"['NFTs, Gaming & Metaverse']","Curated or generative collections of non-fungible tokens (often profile-picture projects) with trait rarity, community utilities, and on-chain provenance."
S20,Tokenization & tokenomics,Generic,['Tokenomics & Incentive Design'],"Design and implementation of token models, including supply, distribution, incentives, revenue-tokenization, and utility/governance mechanics."
S21,DAOs & on-chain governance,Generic,['DAOs & Governance'],"Decentralized autonomous organizations and governance mechanisms that enable community decision-making via on-chain proposals, voting, and treasury management."
S22,Custodial exchanges & CeFi services,Generic,['Regulation & Compliance'],"Centralized trading platforms, custody providers, and regulated financial services that mediate custody, KYC/AML, and fiat on/off-ramps."
S23,Wallets & self-custody,Generic,"['Wallets, Identity & Access']","User-facing software or hardware for managing private keys, signing transactions, and interacting with decentralized applications in self-custodial ways."
S24,Decentralized AI compute & AI-native blockchains,Generic,"['Infrastructure & Developer Tooling', 'Other']",Networks that decentralize AI training/inference workloads or embed ML primitives into blockchain protocol layers to power verifiable AI applications.
S25,"AI agents, personalization & InfoFi",Specific,"['Data, Analytics & Indexing', 'Other']","AI-driven agents and InfoFi systems that analyze social and on-chain signals to personalize experiences, quantify attention, and route capital/information."
S26,Oracles & on-chain data feeds,Generic,"['Data, Analytics & Indexing']","Middleware that supplies authenticated external data (prices, events, indices) to smart contracts in a secure, reliable manner."
S27,"Indexing, APIs & developer integrations",Specific,"['Data, Analytics & Indexing']","Indexers, API services, and SDKs that make blockchain data queryable and integrate dApps with off-chain tooling and analytics providers."
S28,Account abstraction & advanced wallet UX,Specific,"['Wallets, Identity & Access']","Techniques that generalize account models (e.g., smart accounts) to enable programmable recovery, social recovery, sponsored gas, and richer wallet behaviors."
S29,Privacy coins & privacy protocols,Generic,['Privacy & Zero-Knowledge'],"Cryptocurrencies and protocol features that obfuscate transaction metadata, amounts, or identities to provide on-chain privacy for users."
S30,"Validators, node operators & staking economics",Generic,"['Infrastructure & Developer Tooling', 'Tokenomics & Incentive Design']","Network participants (validators/node operators) and the economic models (staking, slashing, rewards) that secure decentralized infrastructure."
S31,Universal message-passing & cross-chain messaging,Specific,['Cross-chain & Interoperability'],"Protocols that provide generalized, permissionless message or event passing between heterogeneous chains for composable cross-chain applications."
