username,attention_score
mark_degreaat,477.0
crypto_0ggy,462.0
emanabio,457.5
suinetwork,403.0
rez1e92,320.5
raghu0208442636,279.0
kurdm673,242.5
01_cryptox,184.5
talish_vhazroo,148.0
chowtato,146.375
aismail_22,144.5
harir1022,134.0
mafiacaptain001,124.5
eyezenhour,124.0
bigphemphem,123.5
cryptosahil2,122.5
ranasahil00622,117.0
overtake_world,114.0
pato_programs,112.33333333333331
0xgilllee,102.0
horlahdotsui,100.5
rj_simmonds,99.5
0x_treasurejohn,95.0
denispodd_17,90.0
gab_riel4k,86.5
ismailwakili20,83.33333333333333
thimy68v,82.0
delekenny152861,80.0
phanchicuong5,75.5
vinidotsui,70.0
msaqlainfcma,68.0
nil_to_shi,66.0
kareem_tweena,60.0
thuyhan68,59.5
that_one_marvis,58.5
luname662786,57.0
cryptpope,57.0
alizaker1539930,56.5
williamm168,55.5
derekjaden_sui,51.0
thuytran68v,51.0
hontrieu68,50.5
modavid8646868,50.0
owolex217693,50.0
big_stanx,43.5
foyeajuddinovi,43.0
philose,42.0
techboy_25,40.333333333333336
nefarii,40.0
akinkunmibayour,38.0
elivra_sui,37.5
suinetworkbr,37.0
jarawhytee,36.0
ajunestyle,35.0
suinetwork_fr,35.0
0xpain__,35.0
defi_funds1,34.0
cryptherapist02,32.0
binnorthy,29.75
doncurrent_,28.666666666666668
bbbbhome,27.5
thatonelight_12,27.0
rk7737811692,25.0
crypto_x1,24.0
grootkkw,23.0
tarikul2052,23.0
giang86b,22.5
0xedle,22.0
cessloco711,21.0
alekrewella,20.0
srrakib1153845,19.0
phamhauvan103,18.0
ghuhhzhhs36023,16.5
anayophd,16.0
monty159,16.0
ansarikhus3737,15.0
silverhard_,15.0
clarkmark2462,15.0
khaledsaif73524,14.666666666666666
khan_shaho83605,13.0
garciaisabel60,12.5
peddy_sui,12.0
lynguyen203,12.0
ifeyinoni,12.0
zyborev38691,10.5
duynguyen120790,10.0
hollytorress,9.0
somaie777580,8.0
thienbinhad,8.0
sebassam01,7.0
idowurotimi10,5.0
nguyensky2012,4.5
tanmay130,4.0
aizco_designs,2.5
samuelobiora77,2.0
lobzanov76116,2.0
ad_subho,0.75
vishal_nir16165,0.0
