project_name,creators
7k_ag_,"['C12', 'C51', 'C97', 'C98']"
ATTNtoken,"['C9', 'C93']"
AftermathFi,"['C60', 'C71', 'C73', 'C74', 'C75']"
AlphaFiSUI,"['C63', 'C85']"
CetusProtocol,"['C66', 'C76', 'C77', 'C78']"
Claynosaurz,"['C33', 'C53', 'C69', 'C85', 'C86']"
DeAgentAI,['C66']
DeepBookonSui,"['C66', 'C91']"
EmberProtocol_,"['C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'C10', 'C11', 'C12', 'C13', 'C14', 'C15', 'C16', 'C17', 'C18', 'C19', 'C20', 'C21', 'C22', 'C23', 'C24', 'C25', 'C26', 'C27', 'C28', 'C29', 'C30', 'C31', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C38', 'C39', 'C40', 'C41', 'C42', 'C43', 'C44', 'C45', 'C46', 'C47', 'C48', 'C49', 'C50', 'C51', 'C52', 'C53', 'C54', 'C55', 'C56', 'C57', 'C58', 'C59']"
Ensofi_xyz,"['C73', 'C74', 'C75', 'C79', 'C80', 'C81']"
HaedalProtocol,"['C60', 'C79', 'C81', 'C95', 'C96']"
LINEUP_games,"['C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'C11', 'C12', 'C13', 'C14', 'C15', 'C16', 'C19', 'C21', 'C22', 'C23', 'C24', 'C25', 'C26', 'C27', 'C28', 'C29', 'C30', 'C31', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C38', 'C39', 'C40', 'C41', 'C42', 'C43', 'C44', 'C45', 'C46', 'C47', 'C48', 'C49', 'C52', 'C54', 'C55', 'C56', 'C57', 'C58', 'C59', 'C86', 'C94', 'C97']"
MMTFinance,"['C12', 'C62', 'C63', 'C65', 'C66', 'C67']"
Official_NODO,"['C60', 'C67']"
PawtatoFinance,"['C10', 'C70', 'C71', 'C82', 'C83', 'C84']"
PythNetwork,['C68']
Scallop_io,"['C60', 'C71', 'C72']"
SoundnessLabs,['C87']
SuiNSdapp,['C91']
Suigar_com,"['C71', 'C92', 'C93']"
Suilendprotocol,"['C50', 'C63', 'C64', 'C71', 'C77', 'C96']"
SurgeOnSui,['C65']
Turbos_finance,"['C82', 'C83', 'C84']"
TypusFinance,"['C78', 'C93']"
WalrusProtocol,"['C10', 'C33', 'C61', 'C66', 'C68', 'C87', 'C88', 'C89', 'C90', 'C91']"
blubsui,['C65']
bluefinapp,"['C18', 'C61', 'C62', 'C63', 'C64']"
bucket_protocol,['C51']
creekfinance,"['C51', 'C97', 'C98']"
doubleup_app,"['C71', 'C92']"
ferra_protocol,['C60']
flowx_finance,"['C73', 'C74', 'C75']"
fullsailfi,['C53']
ikadotxyz,"['C88', 'C89', 'C90', 'C91']"
lofitheyeti,"['C10', 'C17', 'C20', 'C48', 'C65', 'C69', 'C70']"
navi_protocol,"['C63', 'C71', 'C76']"
nemoprotocol,['C95']
switchboardxyz,['C80']
volo_sui,['C63']
xocietyofficial,"['C64', 'C71', 'C72', 'C94']"
