id,keyword,level,categories,one_sentence_definition
S1,Decentralized Exchange (DEX),Generic,['DeFi'],A permissionless on-chain marketplace for swapping tokens and providing liquidity using smart contracts rather than centralized order books.
S2,Automated Market Maker (AMM),Generic,['DeFi'],A liquidity protocol that prices trades algorithmically using on-chain pools and bonding curves instead of matching individual buy/sell orders.
S3,Concentrated Liquidity (CLMM),Specific,['DeFi'],An AMM approach that allows liquidity providers to allocate capital within custom price ranges to increase capital efficiency.
S4,Central Limit Order Book (CLOB),Specific,['DeFi'],"An on-chain shared order book model where limit orders are aggregated and matched to provide low-latency, order-book style trading."
S5,Perpetuals & Derivatives,Generic,['DeFi'],"Protocols and markets for margin, perpetual futures, options, and other derivative products that enable leveraged positions and hedging on-chain."
S6,DEX Aggregation & Route Optimization,Generic,['DeFi'],Services that source liquidity and compute optimal multi-path routing across multiple pools or DEXs to minimise slippage and fees.
S7,Yield Aggregators & Auto-Compounding Vaults,Generic,['DeFi'],"Automated vault strategies that aggregate capital and optimize yield by compositing protocols, auto-compounding returns, and rebalancing positions."
S8,Lending & Borrowing Protocols,Generic,['DeFi'],Smart-contract driven markets that enable deposits to earn yield and allow over-collateralized or algorithmic borrowing against on-chain assets.
S9,Liquid Staking Derivatives (LSD),Specific,['DeFi'],Tokenized representations of staked assets that let users retain liquidity (tradable tokens) while their underlying tokens are staked to securing a chain.
S10,Restaking & BTC Liquidity Solutions,Specific,"['DeFi', 'Cross-chain & Interoperability']","Mechanisms that re-use staked assets (or BTC) to secure additional protocols or create yield, increasing on-chain liquidity for proof assets like BTC."
S11,Real-World Asset (RWA) Tokenization & RWA Finance,Generic,['DeFi'],"The process and protocols for representing physical or off-chain assets (e.g., real estate, gold, invoices) as on-chain tokens and creating financial products around them."
S12,Stablecoin Protocols & CDPs,Generic,['DeFi'],"Mechanisms and systems for issuing and maintaining stable-value tokens, often via collateralized debt positions (CDPs) and liquidation/peg-stabilization logic."
S13,Oracles & On-chain Price Feeds,Generic,"['Data, Analytics & Indexing', 'Infrastructure & Developer Tooling']","Services that securely ingest and publish off-chain data (e.g., prices, events, randomness) onto blockchains for smart contract consumption."
S14,Cross-chain Bridges & Interoperability,Generic,['Cross-chain & Interoperability'],"Protocols and tools that move assets, messages, or state between different blockchains, enabling multi-chain composability."
S15,Decentralized Storage & Data Availability,Generic,"['Infrastructure & Developer Tooling', 'Data, Analytics & Indexing']",Distributed storage networks and data-availability layers designed to persist large or arbitrary data off-chain while ensuring retrievability and censorship resistance.
S16,MPC Key Management & Wallet Abstractions,Specific,"['Wallets, Identity & Access', 'Security, Audits & Risk Management']","Multi-Party Computation-based protocols for distributed private-key custody, enabling threshold signatures, keyless wallets, and low-trust signing."
S17,Multisig Wallets & Treasury Management,Generic,"['Wallets, Identity & Access']","Multi-signature smart-contract wallets and governance-controlled treasury tools for secure, shared control of funds and on-chain operations."
S18,Name Services & Decentralized Identity (DID),Generic,"['Wallets, Identity & Access']","On-chain naming and identity systems that map human-readable identifiers to wallets, metadata, and decentralized identifiers for improved UX and anti-Sybil uses."
S19,Privacy-preserving Identity & ZK KYC,Specific,"['Privacy & Zero-Knowledge', 'Wallets, Identity & Access']","Identity systems using privacy-preserving cryptography (e.g., ZK proofs) to enable anonymous KYC, Sybil-resistance, and selective disclosure without exposing raw data."
S20,Zero-Knowledge Proofs & Verification Layers,Generic,['Privacy & Zero-Knowledge'],"ZK-based protocols and verification layers that enable succinct, privacy-preserving proofs and off-chain computation verification for on-chain use."
S21,"SDKs, APIs & Developer Tooling",Generic,['Infrastructure & Developer Tooling'],"Libraries, SDKs, APIs, and open-source toolchains that accelerate building, integrating, and deploying smart contracts and dApps on-chain."
S22,Move Ecosystem & Move-based Smart Contracts,Specific,['Layer 1 / Core Protocols'],"The Move language and associated tooling/ecosystem used to author and deploy smart contracts on Move-based chains (e.g., Sui, Aptos)."
S23,Tokenomics & ve-style / Incentive Design,Specific,['Tokenomics & Incentive Design'],"Design patterns for token incentives including vote-escrow (ve) mechanics, emission schedules, buybacks, staking rewards, and community incentives."
S24,Dynamic AMM Engines & Bonding Curves,Specific,['DeFi'],"Advanced AMM designs (e.g., dynamic fees, bonding curves, multiple AMM engines) that adapt parameters for capital efficiency and price discovery."
S25,Flash Loans & Instant Settlement,Specific,['DeFi'],"Atomic borrowing primitives that allow uncollateralized loans within a single transaction, enabling arbitrage, liquidation, and composability patterns."
S26,On-chain AI & AI Agent Infrastructure,Generic,"['Infrastructure & Developer Tooling', 'Other']","Blockchain-native AI services and agent frameworks that coordinate identity, continuity, and consensus for autonomous or semi-autonomous on-chain agents and models."
S27,On-chain Analytics & Wallet-level Data Insights,Generic,"['Data, Analytics & Indexing']","Tools and protocols that index, analyze, and surface actionable insights from on-chain wallet activity and transaction data for users and dApps."
S28,P2P Marketplaces & Smart Escrow for Game Assets,Specific,"['NFTs, Gaming & Metaverse']","Peer-to-peer trading platforms for game items, accounts, and in-game assets that use smart-contract escrow or multisig to secure trades and settlements."
S29,Gaming & GameFi Ecosystems,Generic,"['NFTs, Gaming & Metaverse']","Integrated gaming platforms that combine blockchain-native assets, play-to-earn mechanics, metaverse land/avatars, and token-driven economies."
S30,NFT Marketplaces & Fractionalized NFTs,Generic,"['NFTs, Gaming & Metaverse']","Marketplaces and protocols for minting, trading, fractionalizing and managing provenance/ownership of digital collectibles and tokenized assets."
S31,Decentralized Advertising Exchanges & Web3 Ad Economies,Specific,['Other'],Blockchain-native marketplaces and economic models for buying/selling ad inventory and rewarding users/publishers with on-chain incentives.
S32,Yield-trading & Hedging Platforms,Specific,['DeFi'],"Protocols that let users take directional or hedged positions on yield-bearing instruments, swap yield exposure, or synthetically long/short yields."
S33,Asset Management Vaults & Market-Making Strategies,Generic,['DeFi'],"Managed vaults and strategy containers that run market-making, hedging or other automated strategies to generate returns for depositors."
S34,Verifiable Randomness (VRF) & On-chain RNG,Specific,"['Data, Analytics & Indexing']","Cryptographic randomness services (e.g., VRF) that provide verifiable, tamper-resistant random numbers for gaming, lotteries, and fair contract logic."
S35,"Security, Audits & Risk Management",Generic,"['Security, Audits & Risk Management']","Practices, tooling and protocols for auditing, securing smart contracts, managing treasury risk, liquidation logic, and operational security."
S36,Chain Abstraction & Native Interoperability,Specific,['Cross-chain & Interoperability'],Protocols and designs that make assets or native chain value usable across ecosystems without relying solely on wrapped tokens or trust-heavy bridges.
S37,Verifiable Randomness (duplicate placeholder),Specific,"['Data, Analytics & Indexing']",Duplicate placeholder (not used).
S38,DePIN & Physical Infrastructure Tokenization,Specific,['Other'],"Decentralized Physical Infrastructure Networks that tokenise access, ownership, or utility of real-world devices and networks for Web3 services."
S39,Layer 2 Scaling Solutions & Rollups,Generic,['Layer 2 & Scaling'],"Layer-2 architectures (rollups, optimistic/zk) and custom scaling chains designed to increase throughput and reduce gas costs for a base layer."
S40,On-chain Gambling & Provably-fair Games,Specific,"['NFTs, Gaming & Metaverse']","Blockchain-native casino and betting mechanics (e.g., roulette, dice, coinflip) that leverage provable randomness and trustless settlement."
