project_name,twitter_handle,rootdata_full_introduction,rootdata_brief_introduction,rootdata_tag_names
Momentum,MMTFinance,"Momentum is the leading Move Central Liquidity Engine with solutions including Multi-Sig Treasury Management, Token Vesting, and Liquidity Provisioning. Momentum was previously called MSafe (Momentum Safe), and was a multi-signature wallet solution.",Move Central Liquidity Engine,"DEX,On-Chain Financing Solutions,DeFi,Multisig Solution"
BluWhale AI ,bluwhaleai,"Bluwhale’s innovative AI personalization protocol specializes in unlocking the full potential of decentralized applications (dApps) by extracting deep insights from consenting user wallets across a variety of blockchain networks. Bluwhale’s primary aim is to drive user growth, engagement, and retention by identifying and reaching potential users through data-driven decisions and personalized wallet-to-wallet communication. Bluwhale is scaling its AI network on the blockchain, empowering individuals to monetize and contribute data, storage, and compute power from idle smartphone capacity.",Web3’s Intelligence Layer ,"Tools,Data & Analysis,AI"
Claynosaurz,Claynosaurz,"Claynosaurz is a 3D animation studio, developing quality entertainment IP in Web3 with the power of community engagement.",Entertainment IP in Web3,Entertainment
PawtatoFinance,PawtatoFinance,"Pawtato is a DeFi dApp aggregator and wallet manager on Sui for DeFi notifications on Sui, providing alerts for LP management and lending risks.",DeFi dApp aggregator and wallet manager,"Tools,DeFi"
EnsoFi,Ensofi_xyz,"EnsoFi is a cross-chain DeFi hub that enables users to access the best yield opportunities across multiple chains. By bridging liquidity across chains and consolidating DeFi activities into a single platform, EnsoFi empowers users to maximize returns with minimal friction.",Cross-chain DeFi Hub,"DeFi,Yield aggregator"
Walrus,WalrusProtocol,"Walrus is a decentralized storage and data availability protocol designed specifically for large binary files, or ""blobs"". Walrus focuses on providing a robust but affordable solution for storing unstructured content on decentralized storage nodes while ensuring high availability and reliability even in the presence of Byzantine faults.",Decentralized storage and data availability protocol,"Storage Network,Infra"
IKA Chan,ikadotxyz,"Ika (formerly dWallet Network) is a parallel MPC network offering sub-second latency, scalability to 10,000 tps and hundreds of nodes, and zero-trust security. The preferred choice for interoperability, decentralized hosting and chain abstraction, Ika aims to transform digital asset security and multi-chain DeFi.",Parallel MPC network,"Infra,MPC,Chain Abstract"
Pyth Network,PythNetwork,"Pyth Network is a next-generation price oracle solution that aims to make valuable financial market data available on-chain for projects and protocols, as well as for the general public, via blockchain technology. The network aggregates first-party price data from a broad group of over 70 trusted data providers and publishes it for consumption by smart contracts and other on- or off-chain applications.",Oracle Solution,"Oracle,DeFi,Infra"
Scallop,Scallop_io,"Scallop is the pioneering Next Generation Money Market for the Sui ecosystem. By emphasizing institutional-grade quality, enhanced composability, and robust security, we are dedicated to building a dynamic money market that offers high-interest lending, low-fee borrowing, AMM, and asset management tool on a unified platform and offering an SDK for professional traders.",Money Market for the Sui Ecosystem,"Lending,DeFi"
Lineup Games,LINEUP_games,LINEUP Games is a multi-chain gaming platform that mainly produces competitive sports games and mini games. It supports multiple blockchains such as Solana and Sui. Its predecessor was UNKJD.,Multi-chain gaming platform,Gaming platform
