project_id,project_name,assigned_skill_ids
0,MMTFinance,"['S1', 'S17', 'S33', 'S22', 'S35']"
1,Claynosaurz,"['S29', 'S30']"
2,PawtatoFinance,"['S6', 'S27', 'S21', 'S35']"
3,Ensofi_xyz,"['S14', 'S6', 'S7', 'S33', 'S35']"
4,WalrusProtocol,"['S15', 'S35', 'S21']"
5,ikadotxyz,"['S16', 'S36', 'S21', 'S35']"
6,PythNetwork,"['S13', 'S35']"
7,Scallop_io,"['S8', 'S2', 'S33', 'S21', 'S22', 'S35']"
8,LINEUP_games,"['S29', 'S14', 'S30']"
9,creekfinance,"['S11', 'S33', 'S32', 'S35']"
10,DeepBookonSui,"['S4', 'S22', 'S35', 'S21']"
11,lofitheyeti,"['S23', 'S22', 'S35']"
12,7k_ag_,"['S6', 'S22', 'S35', 'S1']"
13,bluefinapp,"['S5', 'S8', 'S22', 'S35', 'S33']"
14,CetusProtocol,"['S1', 'S2', 'S22', 'S35']"
15,fullsailfi,"['S1', 'S3', 'S23', 'S24', 'S22', 'S35']"
16,switchboardxyz,"['S13', 'S14', 'S34', 'S35']"
17,HaedalProtocol,"['S9', 'S22', 'S35']"
18,EmberProtocol_,"['S33', 'S21', 'S14', 'S35']"
19,doubleup_app,"['S40', 'S34', 'S35']"
20,SuiNSdapp,"['S18', 'S22', 'S21', 'S35']"
21,Suilendprotocol,"['S8', 'S22', 'S35']"
22,bucket_protocol,"['S12', 'S25', 'S35', 'S22', 'S33']"
23,TypusFinance,"['S33', 'S2', 'S5', 'S8', 'S21', 'S22']"
24,SoundnessLabs,"['S20', 'S15', 'S22', 'S35']"
25,ATTNtoken,"['S23', 'S27', 'S35']"
26,flowx_finance,"['S1', 'S21', 'S22', 'S3', 'S35']"
27,AftermathFi,"['S1', 'S21', 'S22', 'S35']"
28,Turbos_finance,"['S2', 'S3', 'S5', 'S33', 'S22', 'S35']"
29,xocietyofficial,"['S29', 'S30', 'S28', 'S35']"
30,navi_protocol,"['S33', 'S8', 'S35', 'S22']"
31,AlphaFiSUI,"['S7', 'S33', 'S22', 'S35', 'S21']"
32,ferra_protocol,"['S24', 'S3', 'S2', 'S6', 'S21', 'S22', 'S35']"
33,DeAgentAI,"['S26', 'S18', 'S27', 'S16', 'S35']"
34,volo_sui,"['S9', 'S22', 'S35', 'S33']"
35,blubsui,"['S23', 'S22', 'S35']"
36,Suigar_com,"['S29', 'S40', 'S30', 'S34', 'S22']"
37,Official_NODO,"['S26', 'S14', 'S27', 'S5', 'S35']"
38,SurgeOnSui,"['S26', 'S23', 'S21', 'S22', 'S35']"
39,nemoprotocol,"['S32', 'S33', 'S22', 'S35']"
