Category,project_name,Rank,Name,Handle,Creator_ID,Mindshare_%,Smart_Followers,Followers,Casual_%,Hardcore_%,Shitposter_%,Curator_%,CopyPasta_%,Creative_%,creator_code
L0/L1,Aptos,72,sparkⓂ️Ⓜ️T,@0x_xifeng,0x_xifeng,0.29,360,25525,38.0,62.0,41.0,59.0,62.0,38.0,C4
L0/L1,Aptos,23,0xAllen,@0xAllen888,0xallen888,0.49,165,37725,17.0,83.0,34.0,66.0,65.0,35.0,C7
L0/L1,Aptos,85,0xdahua｜大华 🎮Ⓜ️Ⓜ️T,@0xdahua,0xdahua,0.26,203,33905,55.0,45.0,33.0,67.0,71.0,29.0,C21
L0/L1,Aptos,42,币世王,@0xKingsKuan,0xkingskuan,0.39,285,60971,20.0,80.0,26.0,74.0,71.0,29.0,C32
L0/L1,Aptos,29,Nathan,@0xxNathan,0xxnathan,0.44,372,24786,29.0,71.0,37.0,63.0,71.0,29.0,C44
L0/L1,Aptos,67,0xzhaozhao $M | 🐜 Ⓜ️Ⓜ️T,@0xzhaozhao,0xzhaozhao,0.32,275,67998,32.0,68.0,47.0,53.0,51.0,49.0,C45
L0/L1,Aptos,37,小胖.eth,@10000BRC,10000brc,0.4,442,76385,41.0,59.0,22.0,78.0,65.0,35.0,C46
L0/L1,Aptos,95,A1 Research,@a1research__,a1research__,0.25,528,9466,65.0,35.0,26.0,74.0,72.0,28.0,C58
L0/L1,Aptos,12,anymose 💢 🐦‍⬛,@anymose96,anymose96,0.63,543,26339,27.0,73.0,36.0,64.0,59.0,41.0,C75
L0/L1,Aptos,70,Armani Ferrante,@armaniferrante,armaniferrante,0.3,3169,150143,73.0,27.0,58.0,42.0,55.0,45.0,C78
L0/L1,Aptos,19,百里Ⓜ️Ⓜ️T,@Baili1018,baili1018,0.53,159,89346,55.0,45.0,23.0,77.0,72.0,28.0,C92
L0/L1,Aptos,87,쥔장 Ⓜ️Ⓜ️T,@beingRich2000,beingrich2000,0.26,198,12517,47.0,53.0,46.0,54.0,45.0,55.0,C101
L0/L1,Aptos,82,BitHappy Ⓜ️Ⓜ️T,@BitHappyX,bithappyx,0.27,247,24171,28.0,72.0,41.0,59.0,59.0,41.0,C107
L0/L1,Aptos,35,Blackbeard,@blackbeardXBT,blackbeardxbt,0.41,890,130738,47.0,53.0,35.0,65.0,70.0,30.0,C110
L0/L1,Aptos,7,Ⓜ️Ⓜ️TVBee,@blockTVBee,blocktvbee,0.71,253,26005,33.0,67.0,43.0,57.0,56.0,44.0,C113
L0/L1,Aptos,18,chainyoda,@chainyoda,chainyoda,0.54,2737,40493,41.0,59.0,55.0,45.0,52.0,48.0,C131
L0/L1,Aptos,20,作业借你抄Ⓜ️Ⓜ️T,@chaozuoye,chaozuoye,0.52,169,52803,38.0,62.0,33.0,67.0,65.0,35.0,C134
L0/L1,Aptos,44,Charles💤🎶,@charles48011843,charles48011843,0.38,311,133856,28.0,72.0,21.0,79.0,71.0,29.0,C135
L0/L1,Aptos,73,코루🍊 Ⓜ️Ⓜ️T,@colu_farmer,colu_farmer,0.29,298,34939,24.0,76.0,44.0,56.0,56.0,44.0,C146
L0/L1,Aptos,30,大西瓜 Ⓜ️Ⓜ️T,@DAXIAGUA1,daxiagua1,0.44,318,89301,50.0,50.0,17.0,83.0,72.0,28.0,C179
L0/L1,Aptos,43,DeFi Decoder,@DeFiDecoder_,defidecoder_,0.38,91,19608,38.0,62.0,50.0,50.0,67.0,33.0,C188
L0/L1,Aptos,32,EricF,@EricCLFung,ericclfung,0.43,1000,19629,26.0,74.0,45.0,55.0,64.0,36.0,C216
L0/L1,Aptos,54,迪尔Dir.Ⓜ️Ⓜ️T,@gn_zebraleyuan,gn_zebraleyuan,0.35,149,58273,43.0,57.0,30.0,70.0,69.0,31.0,C241
L0/L1,Aptos,13,greb,@grebbycrypto,grebbycrypto,0.63,238,41517,45.0,55.0,42.0,58.0,53.0,47.0,C249
L0/L1,Aptos,5,Akiii 💜Monad | Ⓜ️Ⓜ️T,@Guomin184935,guomin184935,0.74,163,16355,25.0,75.0,39.0,61.0,62.0,38.0,C254
L0/L1,Aptos,24,币圈荒木 Ⓜ️Ⓜ️T,@HM010169,hm010169,0.49,328,129507,44.0,56.0,26.0,74.0,70.0,30.0,C271
L0/L1,Aptos,62,Lennaert Snyder,@LennaertSnyder,lennaertsnyder,0.33,318,35925,38.0,62.0,53.0,47.0,75.0,25.0,C335
L0/L1,Aptos,94,medo Ⓜ️Ⓜ️T,@medo_NFP,medo_nfp,0.25,259,13241,10.0,90.0,39.0,61.0,54.0,46.0,C361
L0/L1,Aptos,56,Meta 猿 🦍,@Metabape,metabape,0.35,627,22956,65.0,35.0,21.0,79.0,64.0,36.0,C364
L0/L1,Aptos,83,Miles Deutscher,@milesdeutscher,milesdeutscher,0.27,3538,637892,0.0,0.0,0.0,0.0,0.0,0.0,C369
L0/L1,Aptos,28,加密小师妹|Monica Ⓜ️Ⓜ️T,@Monica_xiaoM,monica_xiaom,0.44,322,143868,47.0,53.0,39.0,61.0,66.0,34.0,C374
L0/L1,Aptos,26,MoonKing,@MoonKing___,moonking___,0.46,310,49547,44.0,56.0,50.0,50.0,69.0,31.0,C380
