project_name,creators
0G,"['C3', 'C7', 'C9', 'C11', 'C15', 'C18', 'C20', 'C24', 'C25', 'C26', 'C31', 'C34', 'C40', 'C41', 'C43', 'C45', 'C48', 'C49', 'C97', 'C104', 'C115', 'C120', 'C126', 'C128', 'C134', 'C137', 'C139', 'C147', 'C148', 'C151', 'C156', 'C160', 'C186', 'C188', 'C210', 'C214', 'C216', 'C218', 'C223', 'C234', 'C237', 'C247', 'C261', 'C272', 'C291', 'C296', 'C298', 'C304', 'C319', 'C341', 'C342', 'C377', 'C384', 'C396', 'C419', 'C432', 'C435', 'C445', 'C449', 'C460', 'C461', 'C462', 'C463', 'C464', 'C465', 'C466', 'C467', 'C468', 'C469', 'C470', 'C471', 'C472', 'C473', 'C474', 'C475', 'C476']"
Allora,"['C11', 'C12', 'C18', 'C19', 'C20', 'C26', 'C34', 'C37', 'C41', 'C45', 'C61', 'C65', 'C69', 'C70', 'C81', 'C97', 'C104', 'C107', 'C108', 'C113', 'C126', 'C127', 'C128', 'C139', 'C147', 'C156', 'C160', 'C184', 'C202', 'C210', 'C213', 'C214', 'C219', 'C231', 'C232', 'C234', 'C249', 'C261', 'C289', 'C291', 'C296', 'C340', 'C347', 'C367', 'C396', 'C407', 'C413', 'C439', 'C460', 'C476', 'C477', 'C478', 'C479', 'C480', 'C481', 'C482', 'C483', 'C484', 'C485', 'C486', 'C487', 'C488', 'C489']"
Aptos,"['C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'C10', 'C11', 'C12', 'C13', 'C14', 'C15', 'C16', 'C17', 'C18', 'C19', 'C20', 'C21', 'C22', 'C23', 'C24', 'C25', 'C26', 'C27', 'C28', 'C29', 'C30', 'C31', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C38', 'C39', 'C40', 'C41', 'C42', 'C43', 'C44', 'C45', 'C46', 'C47', 'C48', 'C49', 'C50']"
Beldex,"['C4', 'C12', 'C18', 'C21', 'C26', 'C35', 'C41', 'C43', 'C51', 'C52', 'C53', 'C54', 'C55', 'C56', 'C57', 'C58', 'C59', 'C60', 'C61', 'C62', 'C63', 'C64', 'C65', 'C66', 'C67', 'C68', 'C69', 'C70', 'C71', 'C72', 'C73', 'C74', 'C75', 'C76', 'C77', 'C78', 'C79', 'C80', 'C81', 'C82', 'C83', 'C84', 'C85', 'C86', 'C87', 'C88', 'C89', 'C90', 'C91']"
Berachain,"['C4', 'C6', 'C11', 'C12', 'C13', 'C16', 'C49', 'C77', 'C92', 'C93', 'C94', 'C95', 'C96', 'C97', 'C98', 'C99', 'C100', 'C101', 'C102', 'C103', 'C104', 'C105', 'C106', 'C107', 'C108', 'C109', 'C110', 'C111', 'C112']"
Billions Network,"['C5', 'C12', 'C24', 'C35', 'C37', 'C45', 'C58', 'C71', 'C74', 'C77', 'C78', 'C80', 'C91', 'C108', 'C128', 'C132', 'C147', 'C156', 'C157', 'C160', 'C161', 'C163', 'C164', 'C203', 'C207', 'C218', 'C221', 'C222', 'C227', 'C228', 'C242', 'C265', 'C267', 'C270', 'C272', 'C275', 'C288', 'C291', 'C305', 'C322', 'C338', 'C343', 'C351', 'C356', 'C365', 'C375', 'C402', 'C413', 'C422', 'C454', 'C455', 'C456', 'C457', 'C490', 'C491', 'C492', 'C493', 'C494', 'C495', 'C496', 'C497']"
Camp Network,"['C1', 'C2', 'C7', 'C9', 'C15', 'C18', 'C20', 'C24', 'C25', 'C26', 'C32', 'C37', 'C40', 'C43', 'C45', 'C46', 'C47', 'C49', 'C59', 'C69', 'C71', 'C74', 'C77', 'C80', 'C84', 'C105', 'C113', 'C114', 'C115', 'C116', 'C117', 'C118', 'C119', 'C120', 'C121', 'C122', 'C123', 'C124', 'C125', 'C126', 'C127', 'C128', 'C129', 'C130', 'C131', 'C132', 'C133', 'C134', 'C135', 'C136', 'C137', 'C138', 'C139', 'C140', 'C141', 'C142', 'C143', 'C144', 'C145', 'C146', 'C147', 'C148', 'C149', 'C150', 'C151', 'C152', 'C153', 'C154', 'C155', 'C156', 'C157', 'C158', 'C159', 'C160', 'C161', 'C162', 'C163', 'C164', 'C165']"
Ethereum,"['C16', 'C98', 'C154', 'C166', 'C167', 'C168', 'C169', 'C170', 'C171', 'C172', 'C173', 'C174', 'C175', 'C176', 'C177', 'C178', 'C179', 'C180']"
EverlynAI,"['C1', 'C12', 'C37', 'C46', 'C59', 'C61', 'C77', 'C83', 'C87', 'C97', 'C104', 'C120', 'C126', 'C127', 'C133', 'C156', 'C179', 'C191', 'C209', 'C210', 'C213', 'C219', 'C221', 'C224', 'C260', 'C262', 'C263', 'C289', 'C290', 'C291', 'C296', 'C302', 'C304', 'C343', 'C359', 'C371', 'C377', 'C379', 'C383', 'C441', 'C455', 'C479', 'C482', 'C484', 'C485', 'C486', 'C498', 'C499', 'C500', 'C501', 'C502', 'C503', 'C504', 'C505', 'C506', 'C507', 'C508', 'C509', 'C510', 'C511', 'C512', 'C513']"
Falcon Finance,"['C1', 'C4', 'C7', 'C9', 'C11', 'C12', 'C19', 'C20', 'C24', 'C25', 'C31', 'C33', 'C41', 'C42', 'C43', 'C45', 'C47', 'C48', 'C50', 'C59', 'C70', 'C71', 'C77', 'C81', 'C89', 'C101', 'C104', 'C108', 'C113', 'C120', 'C126', 'C127', 'C133', 'C151', 'C155', 'C156', 'C161', 'C164', 'C179', 'C195', 'C202', 'C210', 'C211', 'C213', 'C218', 'C229', 'C242', 'C249', 'C257', 'C272', 'C287', 'C288', 'C291', 'C296', 'C301', 'C304', 'C325', 'C340', 'C353', 'C358', 'C367', 'C368', 'C369', 'C371', 'C391', 'C393', 'C398', 'C399', 'C401', 'C429', 'C431', 'C437', 'C439', 'C440', 'C447', 'C475', 'C479', 'C505', 'C515', 'C531', 'C546', 'C566', 'C572', 'C576']"
Huma,"['C2', 'C4', 'C7', 'C9', 'C15', 'C24', 'C37', 'C40', 'C43', 'C45', 'C46', 'C52', 'C59', 'C122', 'C128', 'C132', 'C136', 'C137', 'C156', 'C157', 'C158', 'C164', 'C202', 'C213', 'C280', 'C282', 'C291', 'C304', 'C313', 'C325', 'C401', 'C426', 'C453', 'C514', 'C516', 'C534', 'C540', 'C555', 'C557', 'C563', 'C564', 'C566', 'C568', 'C572', 'C575', 'C576', 'C580', 'C581']"
INFINIT,"['C3', 'C12', 'C19', 'C20', 'C24', 'C26', 'C35', 'C42', 'C43', 'C49', 'C64', 'C66', 'C68', 'C70', 'C72', 'C77', 'C80', 'C81', 'C87', 'C113', 'C114', 'C115', 'C116', 'C127', 'C128', 'C137', 'C140', 'C145', 'C153', 'C155', 'C156', 'C160', 'C194', 'C199', 'C203', 'C204', 'C218', 'C242', 'C246', 'C247', 'C256', 'C258', 'C260', 'C261', 'C272', 'C347', 'C353', 'C357', 'C368', 'C379', 'C397', 'C398', 'C400', 'C401', 'C417', 'C419', 'C427', 'C428', 'C430', 'C433', 'C444', 'C458', 'C464', 'C468', 'C480', 'C506', 'C518', 'C521', 'C524', 'C532', 'C534', 'C549', 'C550', 'C551', 'C552', 'C553', 'C554', 'C555', 'C556']"
Injective,"['C4', 'C22', 'C24', 'C27', 'C33', 'C38', 'C44', 'C46', 'C70', 'C74', 'C77', 'C108', 'C138', 'C151', 'C154', 'C169', 'C176', 'C181', 'C182', 'C183', 'C184', 'C185', 'C186', 'C187', 'C188', 'C189', 'C190', 'C191', 'C192', 'C193', 'C194', 'C195', 'C196', 'C197', 'C198', 'C199', 'C200', 'C201', 'C202', 'C203', 'C204']"
Irys,"['C3', 'C4', 'C11', 'C12', 'C19', 'C24', 'C25', 'C26', 'C28', 'C34', 'C36', 'C45', 'C47', 'C48', 'C50', 'C51', 'C59', 'C65', 'C70', 'C77', 'C79', 'C81', 'C89', 'C97', 'C100', 'C107', 'C121', 'C126', 'C128', 'C136', 'C137', 'C139', 'C147', 'C150', 'C153', 'C156', 'C160', 'C163', 'C164', 'C191', 'C204', 'C205', 'C206', 'C207', 'C208', 'C209', 'C210', 'C211', 'C212', 'C213', 'C214', 'C215', 'C216', 'C217', 'C218', 'C219', 'C220', 'C221', 'C222', 'C223', 'C224', 'C225', 'C226', 'C227', 'C228', 'C229', 'C230', 'C231', 'C232', 'C233', 'C234', 'C235', 'C236', 'C237', 'C238', 'C239', 'C240']"
Mantle,"['C4', 'C15', 'C19', 'C26', 'C30', 'C39', 'C42', 'C70', 'C93', 'C94', 'C95', 'C108', 'C109', 'C113', 'C116', 'C126', 'C127', 'C128', 'C129', 'C139', 'C155', 'C160', 'C164', 'C168', 'C170', 'C187', 'C190', 'C194', 'C216', 'C223', 'C230', 'C265', 'C284', 'C287', 'C298', 'C348', 'C352', 'C353', 'C362', 'C364', 'C367', 'C368', 'C377', 'C393', 'C397', 'C401', 'C403', 'C404', 'C408', 'C425', 'C426', 'C427', 'C428', 'C429', 'C430', 'C431', 'C432', 'C433', 'C434', 'C435', 'C436', 'C437', 'C438', 'C439']"
