project_id,project_name,assigned_skill_ids
0,0G,"['S8', 'S23', 'S7', 'S9', 'S29']"
1,Allora,"['S10', 'S11', 'S9', 'S24']"
2,Aptos,"['S1', 'S3', 'S29']"
4,Beldex,"['S22', 'S13']"
5,Berachain,"['S1', 'S2', 'S17', 'S29']"
6,Billions Network,"['S13', 'S22']"
7,Camp Network,"['S4', 'S12', 'S9']"
8,Ethereum,"['S1', 'S2', 'S29', 'S21']"
9,EverlynAI,"['S9', 'S24', 'S23']"
10,Falcon Finance,"['S18', 'S15', 'S19']"
11,Huma,"['S15', 'S14']"
12,INFINIT,"['S24', 'S15', 'S29']"
13,Injective,"['S1', 'S28', 'S12', 'S14', 'S29']"
14,Irys,"['S1', 'S7', 'S2', 'S9']"
15,Mantle,"['S4', 'S2', 'S29']"
16,Mavryk,"['S16', 'S15', 'S19']"
17,MegaETH,"['S4', 'S2', 'S28']"
18,Mira Network,"['S8', 'S23', 'S9']"
19,Mitosis,"['S19', 'S27', 'S14', 'S15']"
20,Momentum,"['S3', 'S18', 'S15']"
21,Monad,"['S1', 'S28']"
22,Multipli,"['S6', 'S14', 'S15', 'S19']"
24,Novastro,"['S4', 'S16', 'S3', 'S8']"
25,OpenLedger,"['S9', 'S23', 'S21']"
26,PEAQ,"['S23', 'S21', 'S14']"
27,PlayAI,"['S8', 'S9', 'S23', 'S4']"
28,Polygon,"['S4', 'S2', 'S29', 'S14']"
29,Sei,"['S1', 'S28', 'S12']"
30,Sentient,"['S9', 'S24', 'S21']"
31,Somnia,"['S1', 'S27', 'S25']"
32,Sonic,"['S26', 'S2', 'S25']"
33,Story,"['S25', 'S21']"
34,Surf,"['S12', 'S9', 'S24']"
35,Talus,"['S3', 'S8', 'S24', 'S15']"
36,Theoriq,"['S24', 'S23', 'S29']"
37,Turtle Club,"['S15', 'S19']"
38,UXLINK,"['S12', 'S25']"
39,Virtuals Protocol,"['S24', 'S25', 'S9']"
40,Walrus,"['S7', 'S29']"
41,Warden Protocol,"['S8', 'S24', 'S27', 'S1']"
42,XION,"['S1', 'S20', 'S29']"
